ProductCode,Price,Maker,Name,Description,Height,Width,Depth,Materials,Technique,Signed,Firing Technique,Decoration
LK256Y452,280.0,Lisa Katzenstein,gourd vase nasturtiums,"This exuberant earthenware vase is slip cast and decorated in the maiolica style. Lisa uses multiple layers of colour to build up depth and luminosity, with black lines inlaid into the glaze.",26.0,14.0,,Earthenware,Slipcast,Signed,,
LK256Y456,380.0,Lisa Katzenstein,tall twist vase peapods,"This exuberant earthenware vase is slip cast and decorated in the maiolica style. Lisa uses multiple layers of colour to build up depth and luminosity, with black lines inlaid into the glaze.",41.0,15.5,7.5,Earthenware,Slipcast,Signed,,
LK256Y455,300.0,Lisa Katzenstein,spear vase succulents,"This exuberant earthenware vase is slip cast and decorated in the maiolica style. Lisa uses multiple layers of colour to build up depth and luminosity, with black lines inlaid into the glaze.",32.0,13.0,,Earthenware,Slipcast,Signed,,
LK256Y454,300.0,Lisa Katzenstein,spear vase chillies,"This exuberant earthenware vase is slip cast and decorated in the maiolica style. Lisa uses multiple layers of colour to build up depth and luminosity, with black lines inlaid into the glaze.",32.0,13.0,,Earthenware,Slipcast,Signed,,
LK256Y453,280.0,Lisa Katzenstein,gourd vase honesty,"This exuberant earthenware vase is slip cast and decorated in the maiolica style. Lisa uses multiple layers of colour to build up depth and luminosity, with black lines inlaid into the glaze.",26.0,14.0,,Earthenware,Slipcast,Signed,,
JFK394Y244,73.0,Jill Fanshawe-Kato,yunomi,This stoneware yunomi is decorated with an abstract design.,8.5,7.5,,Stoneware,Thrown,Signed,Electric,
JFK394Y254,85.0,Jill Fanshawe-Kato,fish cup,This stoneware cup is decorated with a hand-painted fish design.,8.0,12.0,7.5,Stoneware,Thrown,Signed,Electric,
JFK394Y253,85.0,Jill Fanshawe-Kato,wagtail cup,This stoneware cup is decorated with a hand-painted wagtail design.,9.0,12.0,8.0,Stoneware,Thrown,Signed,Electric,
JFK394Y252,85.0,Jill Fanshawe-Kato,summertime cup,This stoneware cup is decorated with a hand-painted abstract design.,8.5,12.0,7.5,Stoneware,Thrown,Signed,Electric,
JFK394Y250,85.0,Jill Fanshawe-Kato,flower cup,This stoneware cup is decorated with a hand-painted abstract design.,8.0,10.5,7.5,Stoneware,Thrown,Signed,Electric,
JFK394Y248,73.0,Jill Fanshawe-Kato,yunomi,This stoneware yunomi is decorated with an abstract design.,8.5,7.0,,Stoneware,Thrown,Signed,Electric,
JFK394Y245,73.0,Jill Fanshawe-Kato,yunomi,This stoneware yunomi is decorated with an abstract design.,8.0,7.0,,Stoneware,Thrown,Signed,Electric,
M183Y803,171.0,Emily Myers,globe vessel,"This vessel is thrown in red stoneware, altered  and features a round indent.",13.5,11.0,,Stoneware,Thrown,Signed,,Carved
M183Y802,244.0,Emily Myers,globe vessel,"This vessel is thrown in red stoneware, altered  and features a round indent.",18.0,15.0,,Stoneware,Thrown,Signed,,Carved
M183Y801,220.0,Emily Myers,oval vase oval indent,"This vase is thrown in red stoneware, altered and carved with a sgraffito design and features an oval indent.",23.0,9.5,,Stoneware,Thrown,Signed,,Carved
M183Y800,293.0,Emily Myers,moon bottle textured,"This flattened bottle is thrown in red stoneware, altered and carved with a sgraffito design and features a concave circle.",28.0,13.0,8.0,Stoneware,Thrown,Signed,,Carved
M183Y798,244.0,Emily Myers,Twist Faceted Vase,This elegant twisted vase is thrown in red stoneware and carved when leather hard.,24.5,10.5,,Stoneware,Thrown,Signed,,Carved
M183Y799,195.0,Emily Myers,Lantern Vase,This elegant lantern vase is wheel-thrown in red stoneware and carved when leather hard.,22.0,12.5,,Stoneware,Thrown,Signed,,Carved
M183Y797,537.0,Emily Myers,Carved Ball,This elegant carved curved vessel is wheel-thrown in red stoneware and carved when leather hard.,23.0,20.0,,Stoneware,Thrown,Signed,,Carved
M183Y796,232.0,Emily Myers,Twist Faceted Vase,This elegant twisted vase is thrown in red stoneware and carved when leather hard.,28.5,8.5,,Stoneware,Thrown,Signed,,Carved
JP271Y134,100.0,Jitka Palmer,bowl bluebell woods,"This porcelain bowl is wheel-thrown with an expressive design on the whole surface. It is freely painted with slips, oxides and stains and decorated with sgraffito.",6.5,11.0,,Porcelain,Thrown,Signed,,
JP271Y133,110.0,Jitka Palmer,bowl green fingers,"This porcelain bowl is wheel-thrown with an expressive design on the whole surface. It is freely painted with slips, oxides and stains and decorated with sgraffito.",7.0,11.0,,Porcelain,Thrown,Signed,,
JP271Y130,120.0,Jitka Palmer,bowl moon song,"This porcelain bowl is wheel-thrown with an expressive design on the whole surface. It is freely painted with slips, oxides and stains and decorated with sgraffito.",7.5,12.5,,Porcelain,Thrown,Signed,,
JP271Y128,220.0,Jitka Palmer,bowl green canopy,"This porcelain bowl is wheel-thrown with an expressive design on the whole surface. It is freely painted with slips, oxides and stains and decorated with sgraffito.",8.5,18.5,,Porcelain,Thrown,Signed,,
JP271Y127,350.0,Jitka Palmer,bowl hold the light,"This porcelain bowl is wheel-thrown with an expressive design on the whole surface. It is freely painted with slips, oxides and stains and decorated with sgraffito.",7.5,23.5,,Porcelain,Thrown,Signed,,
JH235Y455,32.0,Jennifer Hall,fish cream jug small,"This earthenware jug featuring a lively fish design is wheel-thrown and decorated with slips and oxides using a combination of slip trailing, brushwork and sgraffito techniques. Jennifer’s domestic pieces are pleasing on the eye and a pleasure to use.",9.0,11.0,6.0,Earthenware,Thrown,Signed,,
JH235Y452,25.0,Jennifer Hall,fish espresso cup,"This earthenware cup featuring a lively fish design is wheel-thrown and decorated with slips and oxides using a combination of slip trailing, brushwork and sgraffito techniques. Jennifer’s domestic pieces are pleasing on the eye and a pleasure to use.",6.0,10.5,7.5,Earthenware,Thrown,Signed,,
JH235Y451,25.0,Jennifer Hall,fish espresso cup,"This earthenware cup featuring a lively fish design is wheel-thrown and decorated with slips and oxides using a combination of slip trailing, brushwork and sgraffito techniques. Jennifer’s domestic pieces are pleasing on the eye and a pleasure to use.",5.5,10.5,8.0,Earthenware,Thrown,Signed,,
JH235Y450,25.0,Jennifer Hall,fish espresso cup,"This earthenware cup featuring a lively fish design is wheel-thrown and decorated with slips and oxides using a combination of slip trailing, brushwork and sgraffito techniques. Jennifer’s domestic pieces are pleasing on the eye and a pleasure to use.",6.0,10.5,7.5,Earthenware,Thrown,Signed,,
JH235Y449,25.0,Jennifer Hall,fish espresso cup,"This earthenware cup featuring a lively fish design is wheel-thrown and decorated with slips and oxides using a combination of slip trailing, brushwork and sgraffito techniques. Jennifer’s domestic pieces are pleasing on the eye and a pleasure to use.",6.0,11.0,8.0,Earthenware,Thrown,Signed,,
JH235Y448,31.0,Jennifer Hall,fish small lidded vessel,"This earthenware lidded vessel featuring a lively fish design is ideal for jam, mustard or any condiment. It is wheel-thrown and decorated with slips and oxides using a combination of slip trailing, brushwork and sgraffito techniques. Jennifer’s domestic pieces are pleasing on the eye and a pleasure to use.",9.5,7.5,,Earthenware,Thrown,Signed,,
JH235Y446,43.0,Jennifer Hall,fish mug,"This earthenware mug featuring a lively fish design is wheel-thrown and decorated with slips and oxides using a combination of slip trailing, brushwork and sgraffito techniques. Jennifer’s domestic pieces are pleasing on the eye and a pleasure to use.",12.0,14.5,10.0,Earthenware,Thrown,Signed,,
JH235Y445,46.0,Jennifer Hall,fish jug,"This earthenware jug featuring a lively fish design is wheel-thrown and decorated with slips and oxides using a combination of slip trailing, brushwork and sgraffito techniques. Jennifer’s domestic pieces are pleasing on the eye and a pleasure to use.",15.0,14.0,9.0,Earthenware,Thrown,Signed,,
99Y80,268.0,Owen Thorpe,dish,This stoneware dish is ornately decorated with skilled floral design and brushwork. It comes complete with a hanging wire ready to hang on your wall.,4.5,23.0,,Stoneware,Thrown,Signed,,
99Y78,464.0,Owen Thorpe,shallow dish,This stoneware dish is ornately decorated with skilled floral design and brushwork. It comes complete with a hanging wire ready to hang on your wall.,5.0,29.0,,Stoneware,Thrown,Signed,,
99Y77,537.0,Owen Thorpe,plate,This stoneware plate is ornately decorated with skilled floral design and brushwork. It comes complete with a hanging wire ready to hang on your wall.,4.0,28.0,,Stoneware,Thrown,Signed,,
99Y74,683.0,Owen Thorpe,shallow dish,This stoneware dish is ornately decorated with skilled floral design and brushwork. It comes complete with a hanging wire ready to hang on your wall.,4.5,31.5,,Stoneware,Thrown,Signed,,
99Y73,512.0,Owen Thorpe,shallow dish,This stoneware dish is ornately decorated with skilled floral design and brushwork. It comes complete with a hanging wire ready to hang on your wall.,6.0,31.5,,Stoneware,Thrown,Signed,,
99Y72,512.0,Owen Thorpe,shallow dish,This stoneware dish is ornately decorated with skilled floral design and brushwork. It comes complete with a hanging wire ready to hang on your wall.,5.0,33.0,,Stoneware,Thrown,Signed,,
SM194Y198,45.0,Sarah Monk,round soap pillow white,This earthenware soap pillow is hand-built with cobalt splatters and sgraffito scribbles. It is glazed all over with a transparent glaze.,7.0,11.0,,Earthenware,Hand Built,Signed,,Slip Decoration
