productcode,decoration,depth,description,firing,height,maker,materials,name,price,technique,width
AM470Y165,Glaze,22.0,this stoneware bowl is wheel-thrown with a cream coloured satin glaze over a wax resist design.,Electric,8.0,Andy Mason,Stoneware,ovalled bowl cream satin motif,47.0,Thrown,25.5
AM470Y164,Glaze,22.0,this stoneware bowl is wheel-thrown with a cream coloured satin glaze over a wax resist design.,Electric,8.0,Andy Mason,Stoneware,ovalled bowl cream satin motif,47.0,Thrown,25.0
AM470Y163,Glaze,15.3,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a wax resist motif design.,Electric,3.0,Andy Mason,Stoneware,dinner plate cream satin plain,38.0,Thrown,25.0
AM470Y162,Glaze,15.3,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a wax resist motif design.,Electric,3.0,Andy Mason,Stoneware,dinner plate cream satin plain,38.0,Thrown,25.0
AM470Y161,Glaze,15.1,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a wax resist motif design.,Electric,3.0,Andy Mason,Stoneware,dinner plate cream satin plain,38.0,Thrown,24.5
AM470Y160,Glaze,14.4,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a wax resist motif design.,Electric,3.0,Andy Mason,Stoneware,dinner plate cream satin resist,43.0,Thrown,23.0
AM470Y159,Glaze,14.4,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a wax resist motif design.,Electric,3.0,Andy Mason,Stoneware,dinner plate cream satin resist,43.0,Thrown,23.0
AM470Y158,Glaze,15.1,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a wax resist motif design.,Electric,3.0,Andy Mason,Stoneware,dinner plate cream satin resist,43.0,Thrown,24.5
AM470Y157,Glaze,12.9,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a delicate wax resist motif design.,Electric,2.5,Andy Mason,Stoneware,side plate cream satin motif,27.0,Thrown,19.5
AM470Y156,Glaze,12.9,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a delicate wax resist motif design.,Electric,3.0,Andy Mason,Stoneware,side plate cream satin motif,27.0,Thrown,19.5
AM470Y155,Glaze,12.7,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a wax resist motif design.,Electric,2.5,Andy Mason,Stoneware,side plate cream satin resist,27.0,Thrown,19.0
AM470Y154,Glaze,12.5,this stoneware plate is wheel-thrown with a cream coloured satin glaze over a wax resist motif design.,Electric,2.5,Andy Mason,Stoneware,side plate cream satin resist,27.0,Thrown,18.5
AM470Y153,Glaze,12.7,this stoneware bowl is wheel-thrown with a cream coloured satin glaze and a sgraffito motif design.,Electric,8.0,Andy Mason,Stoneware,bowl cream satin motif,37.0,Thrown,19.0
AM470Y152,Glaze,12.3,this stoneware bowl is wheel-thrown with a cream coloured satin glaze and a sgraffito motif design.,Electric,8.0,Andy Mason,Stoneware,bowl cream satin motif,37.0,Thrown,18.0
AM470Y150,Glaze,11.0,this stoneware bowl is wheel-thrown with a cream coloured satin glaze and a sgraffito motif design.,Electric,7.5,Andy Mason,Stoneware,Standard Bowl,25.0,Thrown,15.0
AM470Y151,Glaze,11.0,this stoneware bowl is wheel-thrown with a cream coloured satin glaze and a sgraffito motif design.,Electric,7.5,Andy Mason,Stoneware,Standard Bowl,25.0,Thrown,15.0
AM470Y147,Glaze,11.0,this stoneware bowl is wheel-thrown with a cream coloured satin glaze and a sgraffito motif design.,Electric,7.5,Andy Mason,Stoneware,Standard Bowl,25.0,Thrown,15.0
AM470Y149,Glaze,11.0,this stoneware bowl is wheel-thrown with a cream coloured satin glaze and a sgraffito motif design.,Electric,7.5,Andy Mason,Stoneware,Standard Bowl,25.0,Thrown,15.0
AM470Y148,Glaze,10.6,this stoneware bowl is wheel-thrown with a cream coloured satin glaze and a sgraffito motif design.,Electric,7.5,Andy Mason,Stoneware,Standard Bowl,25.0,Thrown,14.0
JW392Y365,Slip decoration,17.0,this delightful earthenware dish is painted with a slip-decorated peas motif.,Electric,5.5,Josie Walter,Earthenware,small oval pie dish peas,29.0,Thrown,18.0
JW392Y366,Slip decoration,23.0,this delightful earthenware dish is painted with a slip-decorated peas motif.,Electric,7.0,Josie Walter,Earthenware,oval pie dish peas,59.0,Thrown,24.5
JW392Y334,Slip decoration,22.5,this delightful earthenware dish is painted with a slip-decorated blackberries motif.,Electric,6.5,Josie Walter,Earthenware,oval pie dish blackberries,59.0,Thrown,25.0
